Development_Start_Date,Purchased_Date,City,Locality,Property_Type,Developer_Name,Year_Of_Esablishment,CEO,Number_Of_Employees,Service_Amount,Rating,Investor_Name,City_Investors,sq-ft_cost,Purchase_Amount,Area_Purchased
26-Jul-13,1-Sep-13,HYDERABAD,MIYAPUR,Residential,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Clemens Terry,shivamogga,2145,12551039,8359
27-Jul-13,2-Sep-13,BANGALORE,INDIRANAGAR,Commercial,Carey Group ,1938,Melvina Veum,2757,0.88,D,Damion Heaney,chandrapur,10839,58546208,6138
28-Jul-13,3-Sep-13,BANGALORE,JAYANAGAR,Commercial,Malcolm Group,1962,Demond Ward,3028,0.84,E,Dr. Hermann Mitchell,junagadh,124577,595637519,5692
29-Jul-13,4-Sep-13,BANGALORE,FRAZER TOWN,Commercial,United House,1959,Estel Botsford,1728,0.64,B,Braulio O'Conner,thrissur,10235,61829226,9439
30-Jul-13,5-Sep-13,BANGALORE,HEBBAL,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Michel Graham,alwar,6838,50125549,9906
31-Jul-13,6-Sep-13,BANGALORE,KORAMANGALA,Commercial,Malcolm Group,1962,Demond Ward,3028,0.84,E,Triston Boehm II,bardhaman,12042,70007853,6921
1-Aug-13,7-Sep-13,BANGALORE,INDIRANAGAR,Residential,United House,1959,Estel Botsford,1728,0.64,B,Kelvin Hyatt,kulti,8460,33520550,6191
2-Aug-13,8-Sep-13,BANGALORE,JAYANAGAR,Residential,United House,1959,Estel Botsford,1728,0.64,B,Clovis Buckridge,kakinada,8214,26941920,5125
3-Aug-13,9-Sep-13,BANGALORE,FRAZER TOWN,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Rashad Hirthe,nizamabad,5531,29039409,7095
4-Aug-13,10-Sep-13,BANGALORE,HEBBAL,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Erik Heathcote,parbhani,3556,24646067,9366
5-Aug-13,11-Sep-13,BANGALORE,KORAMANGALA,Residential,United House,1959,Estel Botsford,1728,0.64,B,Julia Mitchell MD,tumkur,6899,32289528,7313
6-Aug-13,12-Sep-13,MUMBAI,CHEMBUR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Nels Dicki,hisar,14618,62643100,5791
7-Aug-13,13-Sep-13,MUMBAI,VILE PARLE,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Sim Feeney,ozhukarai,24135,105998507,5935
8-Aug-13,14-Sep-13,MUMBAI,VASAI,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Theron Osinski,bihar sharif,4793,25618681,7223
9-Aug-13,15-Sep-13,MUMBAI,JUHU,Commercial,T Clarke,1907,Wilson Botsford,4465,0.08,D,Mr. Cody Hirthe,panipat,34285,22403190,8168
10-Aug-13,16-Sep-13,MUMBAI,AIROLI,Commercial,Buckingham ,1914,Roger Rempel,2994,0.69,E,Raymond Rippin,darbhanga,22100,123455904,8096
11-Aug-13,17-Sep-13,MUMBAI,CHEMBUR,Residential,Brett Group,1940,Naomie Daniel,1452,0.21,C,Ludwig Schuppe V,bally,15488,21642002,6654
12-Aug-13,18-Sep-13,MUMBAI,VILE PARLE,Residential,Mulalley,1817,Fletcher Sauer PhD,3414,0.65,B,Cristal McGlynn,aizwal,22408,94644670,6498
13-Aug-13,19-Sep-13,MUMBAI,VASAI,Residential,Mabey,1814,Dereck Simonis V,5578,0.94,A,Stephania Grimes,dewas,5137,41300555,8553
14-Aug-13,20-Sep-13,MUMBAI,JUHU,Residential,Lagan,1896,Bailey Witting,4545,0.32,D,Anissa Hand,ichalkaranji,33500,94421760,8808
15-Aug-13,21-Sep-13,MUMBAI,AIROLI,Residential,Headcrown,1802,Kyra Herman,7357,0.58,E,Elisabeth Hand,tirupati,21000,94114860,7727
16-Aug-13,22-Sep-13,DELHI,Mayur Vihar,Commercial,Thomas Armstrong ,1869,Carlos Moen DDS,7225,0.91,B,Earline Harris,karnal,12900,74343087,6333
17-Aug-13,23-Sep-13,DELHI,Chanakyapuri,Commercial,Tolent,1917,Miss Clair Greenholt,1334,0.83,C,Trisha Heathcote,bathinda,55000,377571150,8271
18-Aug-13,24-Sep-13,DELHI,Vasant Kunj,Commercial,GF Tomlinson,1854,Miss Larue Considine,4473,0.45,D,Delphine Lang,jalna,15100,47986290,7062
19-Aug-13,25-Sep-13,DELHI,Saket,Commercial,Simpson (York),1878,Nico Beier,6445,0.39,E,Gerhard Nolan,barasat,19800,46640880,6040
20-Aug-13,26-Sep-13,DELHI,Pithampura,Commercial,Pyeroy Group,1817,Tito Langworth,7430,0.28,C,Kameron Osinski,kirari suleman nagar,34000,47971280,5039
21-Aug-13,27-Sep-13,DELHI,Mayur Vihar,Residential,Shepherd,1828,Donny O'Conner,5651,0.5,B,Ocie Torp,purnia,12000,49512000,8252
22-Aug-13,28-Sep-13,DELHI,Chanakyapuri,Residential,VolkerWessels UK,1884,Gregorio Rolfson,8564,0.2,E,Karen Wyman,satna,57000,69790800,6122
23-Aug-13,29-Sep-13,DELHI,Vasant Kunj,Residential,Miller,1973,Ms. Rickey Windler,8732,0.72,D,Melyna Lubowitz,mau,14500,94064400,9010
24-Aug-13,30-Sep-13,DELHI,Saket,Residential,Morrison Utility Services ,1944,Nelson Johnson,2972,0.24,B,Kenny Crist,sonipat,18700,29176488,6501
25-Aug-13,1-Oct-13,DELHI,Pithampura,Residential,Lend Lease,1959,Fritz Schmeler,7125,0.37,D,Lora Dooley,farrukhabad,31000,106200730,9259
26-Aug-13,2-Oct-13,HYDERABAD,KUKATPALLY,Commercial,Imtech,1996,Greg Pfannerstill,1528,0.93,A,Matteo Weimann,sagar,3168,26987558,9160
27-Aug-13,3-Oct-13,MUMBAI,CHEMBUR,Commercial,J Murphy,1957,Tabitha Stamm,5579,0.43,E,Jamaal Blick,rourkela,14588,53877423,8589
28-Aug-13,4-Oct-13,MUMBAI,VILE PARLE,Commercial,NG Bailey,1940,Alize Jaskolski MD,2246,0.04,C,Marie Kautzer,durgapur,24200,7935664,8198
29-Aug-13,5-Oct-13,MUMBAI,VASAI,Commercial,SSE Contracting,1880,Watson Wyman,5729,0.25,D,Vicenta Greenfelder PhD,imphal,4855,8531449,7029
30-Aug-13,6-Oct-13,MUMBAI,JUHU,Commercial,Mclaren,1862,Steve Guªann,5661,0.3,C,Mollie Hudson,ratlam,36000,57693600,5342
31-Aug-13,7-Oct-13,MUMBAI,AIROLI,Commercial,Jain Builders,2005,Mr.Sandheep Mehta,775,0.77,E,Alvera Hoppe,hapur,22500,171326925,9889
1-Sep-13,8-Oct-13,MUMBAI,CHEMBUR,Residential,Mantri Group,1999,Sushil Mantri,5464,0.94,D,Monique Okuneva,anantapur,17524,163588993,9931
2-Sep-13,9-Oct-13,MUMBAI,VILE PARLE,Residential,DLF,1946,T.C.Goyal,7542,0.29,E,Lauretta Gaylord,arrah,22408,44377027,6829
3-Sep-13,10-Oct-13,MUMBAI,VASAI,Residential,Aaryan Estates,2006,Aryan Patel,5336,0.21,B,Miss Audie Abbott,karimnagar,4836,8478910,8349
4-Sep-13,11-Oct-13,MUMBAI,JUHU,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Ms. Destin Stracke,etawah,33680,90346600,9250
5-Sep-13,12-Oct-13,MUMBAI,AIROLI,Residential,GMR Group,1978,Gandhi Mallikarjuna Rao,1550,0.8,D,Mathilde Bradtke,ambernath,25000,191960000,9598
6-Sep-13,13-Oct-13,DELHI,Mayur Vihar,Commercial,Arun Excello,1987,Sriram P,1255,0.15,E,Dr. Jackie Ebert,north dumdum,12800,10206720,5316
7-Sep-13,14-Oct-13,DELHI,Chanakyapuri,Commercial,Manjeera,1985,Yoganand,450,0.32,B,Theron Haag,bharatpur,58000,123312640,6644
8-Sep-13,15-Oct-13,DELHI,Vasant Kunj,Commercial,Amrapalli Group,1973,Dr.Anil Kumar Sharma,1023,0.51,A,Darion Stracke Sr.,begusarai,17700,68451741,7583
9-Sep-13,16-Oct-13,DELHI,Saket,Commercial,Hiranandhani Developers,1980,Dr.RL Bhatia,1600,0.04,C,Ona Veum V,new delhi,17400,5815776,8356
10-Sep-13,17-Oct-13,DELHI,Pithampura,Commercial,Jain Builders,2005,Mr.Sandheep Mehta,775,0.77,E,Vladimir Tromp,gandhidham,33800,134268134,5159
11-Sep-13,18-Oct-13,DELHI,Mayur Vihar,Residential,Mantri Group,1999,Sushil Mantri,5464,0.94,D,Clemens Reinger,baranagar,12900,116385348,9598
12-Sep-13,19-Oct-13,DELHI,Chanakyapuri,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Wilbert Hegmann,thiruvittiyur,53000,133304010,8673
13-Sep-13,20-Oct-13,DELHI,Vasant Kunj,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Bill Hintz,puducherry,16900,28910999,5899
14-Sep-13,21-Oct-13,DELHI,Saket,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Golden Grant,sikar,17000,37675060,7642
15-Sep-13,22-Oct-13,DELHI,Pithampura,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Mr. Matilda Stamm,thoothukudi,31000,56394270,6273
16-Sep-13,23-Oct-13,HYDERABAD,KUKATPALLY,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Adriel Stamm,rewa,3168,5842140,6359
17-Sep-13,24-Oct-13,HYDERABAD,JUBLIEE HILLS,Commercial,GMR Group,1978,Gandhi Mallikarjuna Rao,1550,0.8,D,Odell Schulist,mirzapur,11614,55338387,5956
18-Sep-13,25-Oct-13,HYDERABAD,BANJARA HILLS,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Nayeli Conroy,raichur,77845,205207205,9090
19-Sep-13,26-Oct-13,HYDERABAD,KONDAPUR,Commercial,GMR Group,1978,Gandhi Mallikarjuna Rao,1550,0.8,D,Wendy Kemmer,pali,44818,318853179,8893
20-Sep-13,27-Oct-13,HYDERABAD,MIYAPUR,Commercial,Arun Excello,1987,Sriram P,1255,0.15,E,Alysha Goldner,ramagundam,3270,3825900,7800
21-Sep-13,28-Oct-13,HYDERABAD,KUKATPALLY,Residential,Manjeera,1985,Yoganand,450,0.32,B,Kristofer Oberbrunner,vizianagaram,2145,4990814,7271
22-Sep-13,29-Oct-13,HYDERABAD,JUBLIEE HILLS,Residential,Amrapalli Group,1973,Dr.Anil Kumar Sharma,1023,0.51,A,Lisa Langworth,katihar,5364,23326802,8527
23-Sep-13,30-Oct-13,HYDERABAD,BANJARA HILLS,Residential,Hiranandhani Developers,1980,Dr.RL Bhatia,1600,0.04,C,Sibyl Kautzer DVM,haridwar,5637,2153785,9552
24-Sep-13,31-Oct-13,HYDERABAD,KONDAPUR,Residential,Jain Builders,2005,Mr.Sandheep Mehta,775,0.77,E,Ronny Hand,sri ganganagar,3667,25759612,9123
25-Sep-13,1-Nov-13,HYDERABAD,MIYAPUR,Residential,Mantri Group,1999,Sushil Mantri,5464,0.94,D,Dino King DDS,karawat nagar,2698,18615121,7340
26-Sep-13,2-Nov-13,BANGALORE,INDIRANAGAR,Commercial,DLF,1946,T.C.Goyal,7542,0.29,E,Dino Bauch,nagercoil,12075,34093038,9736
27-Sep-13,3-Nov-13,BANGALORE,JAYANAGAR,Commercial,Aaryan Estates,2006,Aryan Patel,5336,0.21,B,Robbie Bechtelar,mango,158978,303406333,9088
28-Sep-13,4-Nov-13,BANGALORE,FRAZER TOWN,Commercial,Unitech,1972,Ramesh Chandra,1472,0.59,A,Selina Hickle,bulandshahr,11234,37163532,5607
29-Sep-13,5-Nov-13,BANGALORE,HEBBAL,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Ms. Evan Baumbach,thanjavur,6987,28905219,5516
30-Sep-13,6-Nov-13,BANGALORE,KORAMANGALA,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Norris Christiansen Sr.,mumbai,11652,51691185,5915
1-Oct-13,7-Nov-13,BANGALORE,INDIRANAGAR,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Zander Lueilwitz,delhi,8594,63320592,9824
2-Oct-13,8-Nov-13,BANGALORE,JAYANAGAR,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Aliya Keebler,bangalore,8457,34834383,5492
3-Oct-13,9-Nov-13,BANGALORE,FRAZER TOWN,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Lavada Cole,hyderabad,5637,28693739,6787
4-Oct-13,10-Nov-13,BANGALORE,HEBBAL,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Miss Brigitte Nikolaus,ahmedabad,3667,14603828,5310
5-Oct-13,11-Nov-13,BANGALORE,KORAMANGALA,Residential,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Candace Friesen,chennai,7267,43978067,8069
6-Oct-13,12-Nov-13,MUMBAI,CHEMBUR,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Violette Metz,kolkata,14588,95821278,8758
7-Oct-13,13-Nov-13,MUMBAI,VILE PARLE,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Aliyah Goldner,surat,24200,146071200,8048
8-Oct-13,14-Nov-13,MUMBAI,VASAI,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Torrance Goodwin,pune,4855,34482638,9470
9-Oct-13,15-Nov-13,MUMBAI,JUHU,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Arnaldo Dickinson,jaipur,36000,259983000,9629
10-Oct-13,16-Nov-13,MUMBAI,AIROLI,Commercial,Adithya Birla Group,1857,Dr.Santrupt B. Misra,136000,0.75,E,Miss Ettie Kessler,lucknow,22500,112978125,6695
11-Oct-13,17-Nov-13,MUMBAI,CHEMBUR,Residential,TATA,1868,Ratan Tata,565502,0.79,E,Christine Homenick,kanpur,17524,125883128,9093
12-Oct-13,18-Nov-13,MUMBAI,VILE PARLE,Residential,VGN,1942,Pratish Devadoss,3683,0.26,D,Ms. Nathaniel Murphy,nagpur,22408,51362721,8816
13-Oct-13,19-Nov-13,MUMBAI,VASAI,Residential,Carillion ,1927,Arlo Moore,8282,0.16,C,Nestor Kunze,indore,4836,4445251,5745
14-Oct-13,20-Nov-13,MUMBAI,JUHU,Residential,Kier Group (Inc. May Gurney),1862,Salvatore Hackett,7200,0.61,B,Carmen Blick,thane,33680,202181377,9841
15-Oct-13,21-Nov-13,MUMBAI,AIROLI,Residential,Interserve,1856,Ms. Jeanie Hettinger,9644,0.85,E,Joan Pfannerstill,bhopal,25000,119000000,5600
16-Oct-13,22-Nov-13,HYDERABAD,MIYAPUR,Residential,Mitie,1954,Johnnie Senger,7511,0.2,D,Hoyt Beier,vishakapatnam,2698,3393005,6288
17-Oct-13,23-Nov-13,BANGALORE,INDIRANAGAR,Commercial,Morgan Sindall,1920,Lexi Moore,9930,0.56,B,Eloy Lubowitz,pimpri-chinchwad,12075,52277022,7731
18-Oct-13,24-Nov-13,BANGALORE,JAYANAGAR,Commercial,BAM Construction/Nuttall,1850,Deon Emard,2625,0.02,D,Emerson Crona,patna,158978,18931100,5954
19-Oct-13,25-Nov-13,BANGALORE,FRAZER TOWN,Commercial,Laing O Rourke,1898,Ryann Becker,1723,0.73,E,Kirstin Kertzmann IV,vadodra,11234,45522752,5551
20-Oct-13,26-Nov-13,BANGALORE,HEBBAL,Commercial,Galliford Try ,1898,Carlee Koelpin,3361,0.5,C,Jovan Quitzon,ghaziabad,6987,27277248,7808
21-Oct-13,27-Nov-13,BANGALORE,KORAMANGALA,Commercial,Keller,1866,Lavonne Hudson,6649,0.78,A,Ashton Flatley IV,ludhiana,11652,72663037,7995
22-Oct-13,28-Nov-13,BANGALORE,INDIRANAGAR,Residential,ISG,1924,Delta Durgan,6405,0.56,D,Mr. Burnice Stark,agra,8594,24255706,5040
23-Oct-13,29-Nov-13,BANGALORE,JAYANAGAR,Residential,Wates,1804,Florian D'Amore,2543,0.5,E,Gabrielle Murphy,nashik,8457,22656303,5358
24-Oct-13,30-Nov-13,BANGALORE,FRAZER TOWN,Residential,Amey UK,1917,Jonathon Sanford,1323,0.6,D,Ron Ratke,faridabad,5637,24514186,7248
25-Oct-13,1-Dec-13,BANGALORE,HEBBAL,Residential,Enterprise,1954,Polly Brakus,9410,0.87,C,Anita Purdy,meerut,3667,16921298,5304
26-Oct-13,2-Dec-13,BANGALORE,KORAMANGALA,Residential,Vinci UK,1808,Camron Rowe I,5160,0.58,B,Ms. Della Johnson,rajkot,7267,38207706,9065
27-Oct-13,3-Dec-13,MUMBAI,CHEMBUR,Commercial,Skanska,1904,Connor Wyman,2574,0.37,A,Miss Aletha Bradtke,kalyan-dombivali,14588,51055520,9459
28-Oct-13,4-Dec-13,MUMBAI,VILE PARLE,Commercial,Willmott Dixon ,1863,Lester Ryan,5982,0.67,D,Gilbert Hoeger,vasai-virar,24200,148260816,9144
29-Oct-13,5-Dec-13,MUMBAI,VASAI,Commercial,Bouygues & Subsidiaries,1911,Viola Murazik,3761,0.92,E,Donald Bernier,varanasi,4855,27590188,6177
30-Oct-13,6-Dec-13,MUMBAI,JUHU,Commercial,Mace,1897,Coy Block,8200,0.86,B,Tina Kemmer,srinagar,36000,296782560,9586
31-Oct-13,7-Dec-13,MUMBAI,AIROLI,Commercial,Costain,1949,Joany Littel,7859,0.64,A,Alana Schuster,aurangabad,22500,142675200,9908
1-Nov-13,8-Dec-13,MUMBAI,CHEMBUR,Residential,Sir Robert McAlpine ,1836,Nedra Zieme,5965,0.35,E,Colt Swift IV,dhanbad,17524,35316117,5758
2-Nov-13,9-Dec-13,MUMBAI,VILE PARLE,Residential,Mears,1824,Orion Nicolas,5484,0.41,B,Kelton Mante,amritsar,22408,64604953,7032
3-Nov-13,10-Dec-13,MUMBAI,VASAI,Residential,Lakeside 1 (Keepmoat),1944,Jacinthe Stehr,5581,0.26,D,Dillan Mertz,navi mumbai,4836,8732365,6945
4-Nov-13,11-Dec-13,MUMBAI,JUHU,Residential,Bowmer & Kirkland ,1930,Effie Legros,1865,0.25,C,Dandre Upton,allahabad,33680,72630920,8626
5-Nov-13,12-Dec-13,MUMBAI,AIROLI,Residential,Shepherd,1828,Donny O'Conner,5651,0.5,B,Sophia Bailey,ranchi,25000,113875000,9110
6-Nov-13,13-Dec-13,DELHI,Mayur Vihar,Commercial,VolkerWessels UK,1884,Gregorio Rolfson,8564,0.2,E,Jody Koss,howrah,12800,25472000,9950
7-Nov-13,14-Dec-13,DELHI,Chanakyapuri,Commercial,Miller,1973,Ms. Rickey Windler,8732,0.72,D,Lafayette Mosciski,coimbatore,58000,408078720,9772
8-Nov-13,15-Dec-13,DELHI,Vasant Kunj,Commercial,Morrison Utility Services ,1944,Nelson Johnson,2972,0.24,B,Nyasia Nienow,jabalpur,17700,27157464,6393
9-Nov-13,16-Dec-13,DELHI,Saket,Commercial,Lend Lease,1959,Fritz Schmeler,7125,0.37,D,Miss Rickie Schaefer,gwalior,17400,50718564,7878
10-Nov-13,17-Dec-13,DELHI,Pithampura,Commercial,Imtech,1996,Greg Pfannerstill,1528,0.93,A,Mrs. Mikayla Bashirian,vijayawada,33800,301043418,9577
11-Nov-13,18-Dec-13,DELHI,Mayur Vihar,Residential,J Murphy,1957,Tabitha Stamm,5579,0.43,E,Jaden Flatley,jodhpur,12900,49612368,8944
12-Nov-13,19-Dec-13,KOLKATA,Dum Dum,Residential,NG Bailey,1940,Alize Jaskolski MD,2246,0.04,C,Daryl Rice,madurai,2839,1050771,9253
13-Nov-13,20-Dec-13,KOLKATA,Tollygunge,Residential,SSE Contracting,1880,Watson Wyman,5729,0.25,D,Gerson Kshlerin,raipur,4316,7132190,6610
14-Nov-13,21-Dec-13,KOLKATA,Ballygunge,Residential,Mclaren,1862,Steve Guªann,5661,0.3,C,Kiera Rempel MD,kota,10253,21352898,6942
15-Nov-13,22-Dec-13,PUNE,Aundh,Commercial,Emcor,1827,Adrain Corkery,6375,0.45,D,Zoey Ankunding,guwahati,8078,33530162,9224
16-Nov-13,23-Dec-13,PUNE,Kalyani Nagar,Commercial,Renew Holdings ,1815,Jefferey Gaylord V,6423,0.93,C,Berniece Maggio,chandigarh,9597,84271833,9442
17-Nov-13,24-Dec-13,PUNE,Hinjewadi,Commercial,Sisk,1890,Jovany Tillman III,2307,0.09,E,Ewald Weimann,solapur,5038,3987375,8794
18-Nov-13,25-Dec-13,PUNE,Koregaon Park,Commercial,Enserve (Spice),1932,Mikel Emard,4343,0.47,B,Ruthie Grimes PhD,hubballi-dharwad,11266,35254243,6658
19-Nov-13,26-Dec-13,PUNE,Magarpatta,Commercial,Northstone NI,1938,Asa Bechtelar,6450,0.59,A,Meaghan Hermann,bareilly,7066,26985549,6473
20-Nov-13,27-Dec-13,PUNE,Aundh,Residential,Seddon ,1846,Sincere Wisozk,3997,0.11,D,Alfonso Macejkovic,morababad,15591,13994482,8160
21-Nov-13,28-Dec-13,PUNE,Kalyani Nagar,Residential,Geoffrey Osborne,1957,Green Kuhlman,3925,0.33,E,Velda Schinner,mysore,11243,33065213,8912
22-Nov-13,29-Dec-13,PUNE,Hinjewadi,Residential,Robertson Group ,1832,Brenden Hills,8611,0.14,B,Miss Velva Schaefer,gurgaon,4814,5595216,8302
